"ID","CRASHDATE","NYCBOROUGH","ViolationDescription","ViolationCode"
15150505,"12/10/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150526,"12/10/2019","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15150487,"12/11/2019","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15150483,"12/12/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150465,"12/14/2019","BRONX","FOLLOWING TOO CLOSELY","1129A"
15150477,"12/14/2019","BRONX","FAILED TO KEEP RIGHT","1120A"
15150418,"12/15/2019","BRONX","DRIVING WHILE INTOXICATED","11923"
15150418,"12/15/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150429,"12/15/2019","STATEN ISLAND","FOLLOWING TOO CLOSELY","1129A"
15150418,"12/16/2019","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15150414,"12/17/2019","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15150414,"12/18/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150398,"12/19/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150414,"12/19/2019","BROOKLYN","UNLICENSED OPERATOR","5091"
15150358,"12/20/2019","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15150386,"12/20/2019","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150386,"12/20/2019","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15150334,"12/21/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150334,"12/21/2019","QUEENS","OPERATING W/O INSURANCE INF.","3191U"
15150344,"12/21/2019","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15150328,"12/23/2019","BRONX","PASSED RED SIGNAL","1111D1"
15150334,"12/23/2019","QUEENS","PASSED RED SIGNAL","1111D1"
15150301,"12/24/2019","BRONX","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15150322,"12/24/2019","BRONX","FOLLOWING TOO CLOSELY","1129A"
15150296,"12/28/2019","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150282,"12/30/2019","MANHATTAN","CONSUMPTION/ALCOHOL IN MOTR VEHICLE","12271"
15150222,"1/1/2020","QUEENS","UNSAFE TIRE","37535C"
15150281,"1/1/2020","QUEENS","FAILED TO USE DESIGNATED LANE","1128C"
15150222,"1/2/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15150222,"1/4/2020","MANHATTAN","SPEED IN ZONE","1180D"
15150185,"1/6/2020","STATEN ISLAND","FOLLOWING TOO CLOSELY","1129A"
15150169,"1/7/2020","QUEENS","UNINSPECTED MOTOR VEHICLE","306B"
15150125,"1/8/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15150124,"1/9/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15150106,"1/11/2020","MANHATTAN","FLD TO STOP @ STOP SIGN","1172A"
15150076,"1/12/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15150059,"1/14/2020","BRONX","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15150063,"1/14/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150076,"1/14/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15150015,"1/15/2020","BRONX","UNLICENSED OPERATOR","5091"
15150059,"1/15/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15150015,"1/16/2020","STATEN ISLAND","FAILED TO KEEP RIGHT","1120A"
15149974,"1/17/2020","BROOKLYN","BACKING UNSAFELY","1211A"
15150015,"1/17/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15149969,"1/18/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15149970,"1/18/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15149968,"1/20/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15149954,"1/21/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15149944,"1/23/2020","BROOKLYN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15149952,"1/23/2020","MANHATTAN","BACKING UNSAFELY","1211A"
15147704,"1/24/2020","QUEENS","UNLICENSED OPERATOR","5091"
15147484,"1/26/2020","QUEENS","UNINSPECTED MOTOR VEHICLE","306B"
15147229,"1/27/2020","QUEENS","UNLICENSED OPERATOR","5091"
15150700,"1/28/2020","BROOKLYN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15156891,"1/28/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15157180,"1/28/2020","QUEENS","FAILED TO CHANGE ADDRESS/REG","4013"
15157763,"1/28/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15158374,"1/28/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15164353,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15164822,"1/28/2020","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15169096,"1/28/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15169386,"1/28/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15173447,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15176886,"1/28/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15178295,"1/28/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15179961,"1/28/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15180755,"1/28/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15181123,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15187610,"1/28/2020","BROOKLYN","OPER LIC REV/SUSP","5111"
15189860,"1/28/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15190449,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15190905,"1/28/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15195491,"1/28/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15195533,"1/28/2020","MANHATTAN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15196127,"1/28/2020","BROOKLYN","AGGRAVATED DWI - BLOOD ALCOHOL CONTENT .18 OR HIGH","11922AA"
15200466,"1/28/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15203498,"1/28/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15204598,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15205279,"1/28/2020","QUEENS","FAILED TO YLD RT-OF-WAY-GRN LITE","1111A1"
15206863,"1/28/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15208026,"1/28/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15208591,"1/28/2020","QUEENS","DRIV'G W/ABILITY IMPARED/ALCOHOL","11921"
15209248,"1/28/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15214113,"1/28/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15214243,"1/28/2020","QUEENS","IMPROPER U TURN","1160E"
15214281,"1/28/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15214528,"1/28/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15214591,"1/28/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15221832,"1/28/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15222204,"1/28/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15222948,"1/28/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15223645,"1/28/2020","BRONX","FAILED TO USE DESIGNATED LANE","1128C"
15224321,"1/28/2020","BROOKLYN","UNSAFE TIRE","37535C"
15224434,"1/28/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15227616,"1/28/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15227752,"1/28/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15228223,"1/28/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15229456,"1/28/2020","BROOKLYN","OPERATOR HAS MORE THAN 2 PASS UNDER 21/DJ/MJ/LIC","501B2B"
15229892,"1/28/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15230126,"1/28/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15231191,"1/28/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15231214,"1/28/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15231498,"1/28/2020","STATEN ISLAND","OPERATING OUT OF CLASS","5092"
15231527,"1/28/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15234079,"1/28/2020","QUEENS","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922A"
15234178,"1/28/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15235364,"1/28/2020","BROOKLYN","FLD TO STOP @ STOP SIGN","1172A"
15238674,"1/28/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15239308,"1/28/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15241613,"1/28/2020","BROOKLYN","DRIVING/WRONG DIREC ON ONE-WAY STRT","1127A"
15245099,"1/28/2020","BROOKLYN","FLD TO YLD RT-OF-WAY @ INTERSECTION","1140A"
15147229,"1/29/2020","BRONX","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15147229,"1/29/2020","MANHATTAN","AGG UNLIC OPER 3 PLUS SUSPENSION","5112A4"
15150865,"1/29/2020","QUEENS","PASSED RED SIGNAL","1111D1"
15150886,"1/29/2020","QUEENS","FLD/NOTIFY DMV CHANGE OF ADDRESS","5098"
15150915,"1/29/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15150942,"1/29/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15152086,"1/29/2020","MANHATTAN","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15152288,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15152384,"1/29/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15152498,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15152803,"1/29/2020","BROOKLYN","DRIVING W/ABILITY IMPARED BY DRUG","11924"
15152934,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15153473,"1/29/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15156891,"1/29/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15157039,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15157068,"1/29/2020","MANHATTAN","FAILED TO USE DESIGNATED LANE","1128C"
15157499,"1/29/2020","QUEENS","FAILED TO USE DESIGNATED LANE","1128C"
15157615,"1/29/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15157695,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15158246,"1/29/2020","QUEENS","FAILED TO USE DESIGNATED LANE","1128C"
15158308,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15158573,"1/29/2020","QUEENS","UNLICENSED OPERATOR","5091"
15159918,"1/29/2020","QUEENS","OPERATING W/O INSURANCE INF.","3191U"
15160462,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15162307,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15163311,"1/29/2020","BROOKLYN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15164303,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15164750,"1/29/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15164924,"1/29/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15165577,"1/29/2020","BROOKLYN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15168852,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15168864,"1/29/2020","QUEENS","EXCESSIVE GROSS WEIGHT","1815A2"
15172336,"1/29/2020","BRONX","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15172422,"1/29/2020","BROOKLYN","DISOBEYED TRAFFIC DEVICE","1110A"
15172429,"1/29/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15172911,"1/29/2020","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15172938,"1/29/2020","BRONX","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15173019,"1/29/2020","BROOKLYN","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15173094,"1/29/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15173309,"1/29/2020","QUEENS","AGGRAVATED UNLIC OPER 2ND MAND SUSP","5112A3"
15173431,"1/29/2020","QUEENS","UNREGISTERED MOTOR VEHICLE","4011A"
15173875,"1/29/2020","STATEN ISLAND","SPEED NOT REASONABLE & PRUDENT","1180A"
15176283,"1/29/2020","BROOKLYN","FLD TO STOP @ STOP SIGN","1172A"
15177133,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15177435,"1/29/2020","BRONX","BACKING UNSAFELY","1211A"
15177490,"1/29/2020","BROOKLYN","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15177504,"1/29/2020","BROOKLYN","CONSUMPTION/ALCOHOL IN MOTR VEHICLE","12271"
15178285,"1/29/2020","BRONX","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15180206,"1/29/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15180682,"1/29/2020","BROOKLYN","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15180729,"1/29/2020","QUEENS","CONSUMPTION/ALCOHOL IN MOTR VEHICLE","12271"
15180824,"1/29/2020","MANHATTAN","FAILED TO USE DESIGNATED LANE","1128C"
15181227,"1/29/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15184832,"1/29/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15184942,"1/29/2020","QUEENS","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15185405,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15185959,"1/29/2020","QUEENS","OPERATING REGISTRATION SUSP/REVOKED","512"
15189763,"1/29/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15190273,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15190441,"1/29/2020","QUEENS","PED PROCEEDED INTO PATH OF VEHICLE","1151B"
15190443,"1/29/2020","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15190483,"1/29/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15194468,"1/29/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15194976,"1/29/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15195048,"1/29/2020","QUEENS","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15195052,"1/29/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15195104,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15195744,"1/29/2020","QUEENS","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15195770,"1/29/2020","MANHATTAN","REFUSAL TO TAKE BREATH TEST","11941B"
15196127,"1/29/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15196196,"1/29/2020","QUEENS","NO SEAT BELT DRIVER","1229C3"
15196242,"1/29/2020","QUEENS","UNREGISTERED MOTOR VEHICLE","4011A"
15198849,"1/29/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15199260,"1/29/2020","BROOKLYN","AGG UNLIC OPER 3 PLUS SUSPENSION","5112A4"
15199284,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15199622,"1/29/2020","MANHATTAN","FLD TO STOP @ STOP SIGN","1172A"
15199758,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15200393,"1/29/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15200504,"1/29/2020","BROOKLYN","REFUSAL TO TAKE BREATH TEST","11941B"
15200612,"1/29/2020","QUEENS","OPERATING W/O INSURANCE INF.","3191U"
15203544,"1/29/2020","BRONX","MOVED FROM LANE UNSAFELY","1128A"
15203717,"1/29/2020","QUEENS","UNLICENSED OPERATOR","5091"
15204172,"1/29/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15204370,"1/29/2020","BROOKLYN","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15205505,"1/29/2020","QUEENS","UNREGISTERED MOTOR VEHICLE","4011A"
15206002,"1/29/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15207579,"1/29/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15208026,"1/29/2020","BROOKLYN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15208472,"1/29/2020","QUEENS","FOLLOWING TOO CLOSELY","1129A"
15208690,"1/29/2020","MANHATTAN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15208833,"1/29/2020","BROOKLYN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15208861,"1/29/2020","BRONX","IMPROPER PASSING","1123"
15208865,"1/29/2020","BRONX","UNLICENSED OPERATOR","5091"
15208927,"1/29/2020","QUEENS","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15208948,"1/29/2020","QUEENS","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15209225,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15209542,"1/29/2020","QUEENS","UNLICENSED OPERATOR","5091"
15210091,"1/29/2020","QUEENS","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15212594,"1/29/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15213166,"1/29/2020","QUEENS","OPERATING W/O INSURANCE INF.","3191U"
15213920,"1/29/2020","QUEENS","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15214217,"1/29/2020","BRONX","OPERATING/VIOLATION OF RESTRICTIONS","5093"
15214285,"1/29/2020","QUEENS","DROVE ACROSS HAZARD MARKING","1128D"
15214375,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15214385,"1/29/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15214455,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15214762,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15215038,"1/29/2020","BROOKLYN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15215153,"1/29/2020","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15215457,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15220903,"1/29/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15221472,"1/29/2020","BROOKLYN","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15221502,"1/29/2020","QUEENS","FLD TO YLD RT-OF-WAY @ STOP SIGN","1142A"
15221897,"1/29/2020","QUEENS","SPEED NOT REASONABLE & PRUDENT","1180A"
15222098,"1/29/2020","BROOKLYN","FLD/NOTIFY DMV CHANGE OF ADDRESS","5098"
15222354,"1/29/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15223295,"1/29/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15223429,"1/29/2020","BRONX","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15223863,"1/29/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15223929,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15223950,"1/29/2020","QUEENS","MOVED FROM LANE UNSAFELY","1128A"
15224017,"1/29/2020","MANHATTAN","UNLICENSED OPERATOR","5091"
15224106,"1/29/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15224120,"1/29/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15224134,"1/29/2020","QUEENS","OPER MV WHILE USING PORTABLE ELEC DEV","1225D"
15224329,"1/29/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15224416,"1/29/2020","BROOKLYN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15224711,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15224714,"1/29/2020","QUEENS","IMPROPER LEFT TURN ON TWO-WAY RDWY","1160B"
15225360,"1/29/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15226893,"1/29/2020","BRONX","UNSAFE STARTING","1162"
15227057,"1/29/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15227152,"1/29/2020","BROOKLYN","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15227158,"1/29/2020","QUEENS","FAILED TO KEEP RIGHT","1120A"
15227262,"1/29/2020","QUEENS","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15227594,"1/29/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15227984,"1/29/2020","BROOKLYN","FAILED TO USE DESIGNATED LANE","1128C"
15228591,"1/29/2020","MANHATTAN","OPERATING W/O INSURANCE INF.","3191U"
15229239,"1/29/2020","BROOKLYN","OPERATING W/O INSURANCE INF.","3191U"
15229430,"1/29/2020","STATEN ISLAND","AGGRAVATED UNLIC OP 3RD MISD","5111A"
15229639,"1/29/2020","BRONX","FAILED TO KEEP RIGHT","1120A"
15229699,"1/29/2020","BROOKLYN","OPER MV WHILE USING PORTABLE ELEC DEV","1225D"
15230187,"1/29/2020","BROOKLYN","UNREGISTERED MOTOR VEHICLE","4011A"
15230354,"1/29/2020","BROOKLYN","PASSED RED SIGNAL","1111D1"
15230628,"1/29/2020","MANHATTAN","FLD TO YLD RT-OF-WAY ON LEFT TURN","1141"
15231043,"1/29/2020","BRONX","UNINSPECTED MOTOR VEHICLE","306B"
15231198,"1/29/2020","BRONX","FOLLOWING TOO CLOSELY","1129A"
15231313,"1/29/2020","BROOKLYN","FAILED TO KEEP RIGHT","1120A"
15231564,"1/29/2020","MANHATTAN","FAILED TO KEEP RIGHT","1120A"
15232011,"1/29/2020","QUEENS","NO/INADEQUATE LIGHTS","3752A1"
15232165,"1/29/2020","BROOKLYN","PASSED RED SIGNAL","1111D1"
15233930,"1/29/2020","BROOKLYN","FOLLOWING TOO CLOSELY","1129A"
15234067,"1/29/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15234384,"1/29/2020","BRONX","FLD/YLD RT-OF-WAY WHEN ENTERG RDWY","1143"
15234415,"1/29/2020","BROOKLYN","MOVED FROM LANE UNSAFELY","1128A"
15234442,"1/29/2020","BRONX","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
15235139,"1/29/2020","MANHATTAN","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15237728,"1/29/2020","BRONX","SPEED NOT REASONABLE & PRUDENT","1180A"
15238164,"1/29/2020","MANHATTAN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15238353,"1/29/2020","BROOKLYN","LEAVING/SCENE PROPERTY DAMAGE ACC.","6001A"
15238433,"1/29/2020","QUEENS","BACKING UNSAFELY","1211A"
15239241,"1/29/2020","QUEENS","DRIV'G W/.10 OF 1% OR ALCO/BLD","11922"
15239241,"1/29/2020","BROOKLYN","DRIVING WHILE INTOXICATED","11923"
15239957,"1/29/2020","BROOKLYN","UNLICENSED OPERATOR","5091"
15240157,"1/29/2020","MANHATTAN","SPEED NOT REASONABLE & PRUDENT","1180A"
15240184,"1/29/2020","QUEENS","BACKING UNSAFELY","1211A"
15244875,"1/29/2020","BROOKLYN","EXCEEDING CLEARANCE","38514"
15245295,"1/29/2020","MANHATTAN","FOLLOWING TOO CLOSELY","1129A"
15245530,"1/29/2020","BROOKLYN","SPEED NOT REASONABLE & PRUDENT","1180A"
15245572,"1/29/2020","BRONX","LEAVING/SCENE PERSONAL INJURY ACC.","6002A"
15150886,"1/30/2020","MANHATTAN","UNREASONABLE SPEED/SPECIAL HAZARDS","1180E"
